NU_INSCRICAO,NU_NOTA_MT
c76ddf6e9f80984e901b12f9462a3cf029bea290,511.98
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,465.96
65bba36aa15f0c4ef3562ea56c125d931bc4ed63,-62.93
1045c54b5ea9f6e08454ec57c47e4ce0e33190bd,-92.91
92823d467a2ced9529801e0e8a94802dd88f0c17,472.22
9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,534.14
413cbb38b2e2522f8167ffb9daeac1347b281393,424.9
68985fad004092956a4b4ce94dd53dc76d07eaf7,438.07
bdca9aeb19521675af15f2c28d86f6bebc45a834,461.16
b65b19d42b7a4b644fe9f99366dcb37b120862d9,422.77
eda898aa8ec465cbac70de72ead0c6d688e5f95a,439.94
5357b6c09be4c7f3829b72f80de846a9228253cb,-100.48
8d5c4481d736f6ce27976e400f4245bf10757608,467.0
226b53de56347e3f9b52c8e0ab811fb82e96b3fb,-99.12
089613ac7dca24109f84c72a97c83b2768b1df1c,-98.54
527773409bf373301dbd835e59a263c035c043b8,-101.07
45c95a1640ada5c9206fde19c4ccf68929c5ec0c,-99.67
c4cea54435c0fd0e171eed4c215479bb3ca86113,419.72
7d5cd89c6112b9a202a025a24355135bc60848c6,502.24
b70ab62384aa80545928a311f5b5d3db2f4d87ee,498.35
c96431dd924f366d2229a7f1455388b8cd85be49,619.32
1b72da5bb82cc150ecfe71218c02f155d694230b,-100.48
e429507efe1c2680cc464481850117d17083cd88,-102.21
dbaa6ee7502cbebb6f058fed5d2f960b19f451ac,450.19
e724482370ae6126008ade80b564ad8d8a0a7cbd,405.13
2ef4e2788e2f815f9a885c899f75d5dfeb234a02,643.53
c8762fee25b022eb5b4918f8f689e4fb6d19f73c,-99.03
e14241b5119dc1ff2c99b9c0c478aad23d9d9d05,439.03
7f898f8939ae054359f83ee154bb91bc7dd2c959,475.56
3c52d067408ec25a676b6fbf5b5c6d63c77cb6bf,417.71
82e3b12c6366008fabc238f299f117074e78de5d,421.91
0d838be0e718ceb786cdb10fcc12559e00440240,495.67
1b092b6c437359bb84f0d0f8d1286a1083d0e0d4,445.84
5a9d89465845ac2d81366275cbb1a81d627efd36,-100.5
c83fe640ba466ba904ac1055e53a875289888797,448.47
8855ae8971b9bd9b02c45a82c6c894a2e76ca542,490.05
a2945f1e7fbadac669590b7d9fafb6c900bca3d0,441.32
328639a0c753715c30a58bae70c82f2101153eb3,429.09
ffc5eb6764d7640edfbdaf4648cd54a12c94dea9,-98.43
643a0eb394b50694c74d5b5fc70b7f7f7c93f9c7,609.38
f56746cc2900258507d2b32c126f8db090db856f,441.1
1a4963b5fea8bb25c67750cdafbe84b01efad177,380.89
b520c940e62f4ed684417e7eacf00d85752060da,444.56
2e170cf2651ed448991af6fc5df15167733b2d8f,492.16
6efdd93a0ae289be6bb5a400bfc1deb077d75886,447.01
72ac2acc787d8cba0934cca3810ac091d792c8db,522.86
92a25eee14554806f081869cc9dac868fd1860fb,454.4
1f12a9b01eb9ef227a5482f498f3354bd485d9a3,483.45
acfcaf61fe2a8ec90ea2648c3125b7dc4dd13b74,475.62
7ec2f787b9f57044bd98c0d4854f521c9f9ec635,657.27
e8d2d318a1e057e9cac8384f1269a86c4b36e0a7,438.77
1730807e4916c5f7e8ab21e02ac5657bcea3e732,-94.77
b45fb481022f31dd47c63c1c3e2ccc3b5915b67d,491.37
1a46d99716282410d1170f0f35069b34e34415d4,453.83
0467e022da4ef897f666bc76f31e1bc8976f7e92,455.97
993aca0d5eac6741117947c82a3647102096255e,449.31
94c96ade6ade21deb080bba6aad537fc4f195d47,487.2
36bb672077a46a3e4755cef90437a616d28bdf23,412.81
e406adf1d4712381dcd4d1c9d78fc9d7f14ff450,379.63
328ca19128d276eb4fbc309c54ec7f346c803d2f,781.37
27cdb62f0a2a5467efeb30aafbf246ed2320c532,459.39
c52cae37c3653620bbec72264c502f45ca2a8671,-97.39
f9ef2695eb0986666093945894b8f2fee351bf22,582.43
2178c497293d0cab01ce74f5105b1a398fb12d8e,-100.28
e21faa0c07406dde71ec02f266b19b314ba8b0e2,-100.44
8a021391cdaac100dab56c59284bd50137a74129,542.85
12ee0df69325d97cb95404958c4acf4112aeab8a,-98.84
b4ea8e8529711d52ed85b1a1f8ea0180bda442b8,494.12
66cf0f8b5af2466f9616fd15c0c10344df84982a,-96.97
720ef6c1d6cb4978762fb0edf4e55fd8303fe35a,423.13
60edc5708acd60680891ea15379dd07c7a5924ff,-101.1
b9f786712775e0d1d735398d710b01f404c985a3,435.25
564958997e204bda06fbe90afc4722805c78a855,538.1
36f38ea81d1305770cd5153f1e1667fe8a1eb47f,475.83
527098f4ee3ceb5c393981930d23b8fe154f4db9,-101.7
5a42c3f801e77d628649a6c34f3a4e5b80f232f7,485.17
8296743fdd105ce9183561cf5b359b0a3781465e,437.25
a3b79e8c739832c77df2ba6bcdb23a7518155a33,-100.96
6602c7f15a1fdd082265b64976448c6809df792d,504.61
31ae66f0fe024acae4490915c348e487f2367574,515.27
81901aa980653106e64863d957387d24e2c00af3,442.28
28e10d1bd0b6effe0edd503446ebda948ad240ad,441.26
53a7ee52a87f80241e2ca13c923e06b72bf3a059,452.37
50be5f75fdaedae454b0c3d63b7277854bd08d8f,-103.83
82bbb4f6c87f03eecd6a3eb7d03a398bb82d155d,-101.28
0e2c166db6aa7deccbe4896423a1d68f6d57b0f1,625.68
d1e2b5c758988b6d69e90aedab3e02cae47d61c4,-99.83
02681b5c893b94db204713cb4b20dde6fc3f2f95,486.2
6ce4c0e0784b3881b36b3d1c047ac6ad121681da,437.21
829dd51f77f3ae74c2216de2d86139bd0a03367c,-105.17
28c6829e69879bc1d34db1cd51b89562d3cc596b,440.1
ecb9f0d7a261c9f27865ea22f2e643701f721eb6,515.76
96715a069fbcb2e84b26a01563921962ccc4601e,-105.14
923538833160e8432636c88e8119378a43b3d766,485.42
aacb834258765a2959ee63c57d2be4923d11a696,451.48
c32e484025571dd94255a77f21de08ab8d2aaba8,442.8
d425deeec0a3c7006f14d732eff8933d5155067f,451.32
f7e7aa93db083d1f25b43cccf4ad2c03a7953cd3,475.51
716a178e9a6f7791b820da77879943ac9040a547,515.27
430212cd8767ef2bff8cda0f61729203fef7523e,442.59
e97d33221238e445688a0e984778d4ecac788be2,487.76
695c9481580951d830c4431fc6c9dee778ba9ca1,-98.56
4bc5712bdb9067b1814e969e71d5cdad59bb38d4,495.58
0411742cbb54fe1b6927b25f0bb52b885828c828,417.86
780505a9d5fc3c6da53686c0cc8bd871f4db00bc,434.88
bc40729846bf209b06e2a9a890e01d4e6780f5b4,-97.94
e4e7a38b58319ad0a5cde4848622b21783c907e9,493.64
9c5a0a82074c75cb072752d71da42b9c6c27b0a3,561.21
aec1b63c3f0c9554e533752d8fe138ca82101d4a,413.69
4cc0fd1efaa148872a1f9edc1b44efef48c91c2b,475.65
4b48d500ba4410546ce01f7f6d44bcbafa73994f,419.12
edf33c347c866d26872f540bcc1f6ae415f3294c,443.21
54f4e6037b9d1eb4a2a134306d37176787f1c1d3,542.73
3a265ea6ebdc4eb2520db912adf5592f03b3d634,454.47
99bfcef2dc3695a617f241bfd3b6ead3fd653d41,-98.02
0ade5488fd62db34c11a369bdbb4327faacc1635,-100.67
e418fbb77e6ff4103205f3b7f6a66d53183d809b,483.13
8ddbfe70cd41135cb6f125335a48d100789edbf7,417.21
fa2f4f80278ac5441ab2f2d8c02a9f920ba6c119,-104.51
1d3e406d0223d4cb0328850d689ba9fcadf62776,405.05
67d9e9d6629fff7ad9cdb0f1e48c76865637aa73,-97.63
ecaf075653faf2dcdf946c0ce50629f5083347c0,402.75
7a2bba61a48894f9bd6fc981f77f2b627b0d8ae6,454.05
d43894c5e83bb3a7e5000636295b0b050de19309,-98.74
5b7877d12550dd35d27a02b66a13f2a27bce11ca,440.92
18f800ec03e33ebad5fb97aa8465dd3e5961337e,441.25
bb39cc6296f2c9da3963994899c5c34b50965720,-97.04
76facda8958cbaf5dba09a4d35d3b4de7596a49d,-99.93
b05356be088f726b5ba7e0b0a9aa1b5cf4157b2a,498.33
e887be276bf553575b20ed1a0de8833d9cb7e247,-95.89
cc8794762ffa592758b5117d67e0d02e2e8b9c49,551.26
894d277c608610fa8c31db531f64582b9569b2e9,439.72
b2e029961aa0f20071b74708e0d97e6f200ec582,425.38
12c7d85e168b09a0278df140a22bcb0052a59b0a,452.06
64c4892488a9c6281bdabf467a0b5a6382d248e6,401.41
944e790f6e64eccf6df361247858165f17dd7abb,-102.46
ac112e94587e6e4249b7182329ee5a5040ae94ea,503.18
a58cf11e498228f9aaca92b0c49f955a6163fb59,430.56
e8c84701c041b7f3b39f3125a0449fa633589fbe,503.64
af8dd560d9ea4adcfd0d2b6b5f81f95fad9c3222,491.45
c650c8f7cbe1a7b00f4edbcf43c8b97ce85d0d64,-98.84
ac9cc7dbe0e70fb6717aa371a23aa75e6594ec02,431.82
e64ad901853230e396be49311ea98121c348fac6,509.95
8532af19be3729ea233c1f29e4c015820fc7fb3a,472.87
6de1d7f2ad49d20e5782f8cacf4f0b677ff2d316,443.8
26853fd075fe27954772c3070997635b94f32b83,414.51
3159f29994dadd5cba1f94c3f3b9ac69e24c1cc2,562.38
574ec310dee846f9ae8eb278480257d463f6fbcc,484.22
ebb32b8df4ff9b202ba904f310724ce230cb4305,-99.16
8a46e35787225c3e7adef2b998ad9c93a952106b,512.86
b62bf908b504e8c6898777a7f5b88afed358caea,412.33
10d22971ca4f53fc62d02905809ff1c37fbb68fc,606.41
0efd9ad5eb41ad08e1f1af9fbe59eb5845323860,447.09
cad47b624b484cb16291449cee30707a46c20199,-101.34
8f2c4684ec70392c718c278b10b04ddfbd4ced1f,650.74
bb6c0df09cb6663f142ce6da382b804353453af2,-99.52
c03f2bcf9ef69bcfdf270b6ffc6110408f0ead41,482.38
7bd0affe1bdd3681a0faecd80a3d48c023b986de,-100.46
d76614020539405f481c0f5ffb9e6f88a0bf21b7,446.4
5ce2df96a99343819ead41bf242044177439696d,-95.99
c7463ccdb0d2ad76b5823bfd016d420e02f4acc0,-98.46
a9216c3fc0c0bf14cda0ca26a71c205458b74896,-100.52
92acabe95cd7dd1ae1dd63547cde3a4939cf7e2e,470.11
ddbf5769bc4a6fb2aa16e5a031d8eb7796d1c04c,461.68
176b027cd932b17fcb6f119cfcef338a175062b8,420.39
41474f2dda61d97f38ba79906d3dbcce223d1bd1,466.38
421eb738f9e2ea73e5f4227c915762d6421102ac,-97.89
1c5a1514e6a5c44e5683ec01698a83ce474c2e4d,462.93
f113b266aeb3cb19dca62ae88de7cc55a13efbf1,-85.7
134d96275e3893946c3a0e1d59f86b336fe64f6e,-100.8
d4e97da32ccb6987ec074aa48c24ce949c05a78c,408.76
fa556e489987a0588e9a8edb5327e2bde1679670,-100.83
95c1d266a2524560761df98b376c17604733a6ad,527.64
c11c4303d2632cde64105a35554ecb77a8564260,455.42
30ddf113f77266181ef7bf57ea7d4ca3f505fec7,482.11
6d94e9582cfdb5d239f21b3ba08b619d81c5e8aa,551.2
3671441f51dc0c3d052e87d6b8beba46bb70bfeb,466.52
580c34923cbde328e0aef1641dd02033fc862c04,463.75
156e1fb82056b0f6953c443446eb4dcceed7c03b,-97.61
29d8bf198da9caa59047268faca60207da24d1b7,627.59
1b3f80a1cd9fff0408e96169fcaf006936b34fed,459.4
b5932043b62e0c58e16e2cc2c9d5489390e5c895,440.97
99092cc60948943c59d68d62ed81a75a03059113,486.67
fbfc631ae23a558d8dd92916cf2e8b5f923b0681,-102.6
dd69fca6f17420dc911016a79e70583ca7ea330d,431.9
d387995af060965fb9d18973f3dbf4904f071066,419.39
27dbf6c09f5e0f3756ad3e9ea156fbc330601a6a,472.24
543674772357cf9d8a7a8e7dfb89384af80ec30e,509.49
80a12b8a4c9df4ef4f78a33d41858b6f1ea24144,434.52
dc2699d27649dbe52ebbe10001c0bb5ba71310c0,-92.4
0736d379ea0962e316ce84cce8e883321be36abb,441.46
98cc842c547c69a0d27776e272fd8b61131b0b37,413.74
890b7696fa85ca2b3e90b3951efec2135e88d5cf,441.59
f3c4cd2f095979416fcac08d630fb1b1623ba5d6,769.68
d84b48f7dc7a6e387e6e985525143589754c5b13,428.23
71c9f09a9ed64f1cf7ba1bef4a614ad21e00afc9,502.96
dc4fe9d4124d9278f58f6f999711116a3fe58be7,395.41
f6624d763619c0898b34dc02adf06f53a1721cd0,432.77
60b1c12559860e7ad966da4c4db5c78e17278fc0,498.72
a3f3dcb89101d86171f8bb4f4f57939717cf298a,-100.36
4f365503582b97ea96462d0d36895a5e7f5926df,434.09
c80869804effb21d50cc8fff3f4c27ba5521240c,444.92
d0f351638d60e84b890a498d69c9a7961cdcdf36,456.27
48e8ec135997ff3676648d5c144c3c7150a7bbb1,486.2
45484014aefd10ea3e4b08fb93e66c251709cca6,409.38
ccd8d735f7b3c980582f9086a6cae8b9ce8dea54,441.26
b2e2d1aa1a539b402da8b8fe52520fdf9ed7cdd9,417.1
25c9e3b023d4d32d0f15cb9041ea6b2bfbec6a63,579.73
0fb75ce5f51e8afaf504c75de131eb31f89faf4f,450.71
26e6e8cec21236dfc21cf98812a3d99a3f87d99b,656.65
c83c66733c5bd90a59996e473bb69e44f6522976,412.84
69c67ff1933e4fa099182bbcb24a229d0ad84d5d,-102.29
4c373daf5547a6292c4905696c148ec83f95f083,-96.64
4549620b5459bb28990580f4ca0b4c2adc5b1a68,-97.16
87f89c855f377c5b100ad2986cc6569e31d94a98,539.06
d0d8601aab147c191ae37365a930c1ed3eb0414b,-97.61
9a25537903e8e7eab1dfb357903d241e24e86fb8,-100.48
eaecf3dd32668664e1dcc2d6c7a69042824806a6,443.44
d19fa85793fcb8ae3126d10592c9c57d3b32971f,-105.25
c59b370d3aa06b68878c836bceac844953d74972,486.22
5a6d397150d1a9e9c82e120f92d1e782da34bddb,-98.19
b2128312e70fdb830091aecb6b27d82617e2e226,407.11
8257941af168c0cc15f28bd596fd922352dae732,433.06
854ce153823802674f35bbe1ec010b12e9b3a56f,444.95
27f1db4e266b154f6f7fbef9c225fab472652a7b,416.95
11b90bed4a05d11169f308370faf81d6e9ca2c4f,441.76
5c55b7aeae6cb75ec715b4629812175239e45c15,-100.44
1391c7de937e0fea2ad23ebb111e513bf2aca2af,-96.89
e9488c35627294cd8f5a809c0667aef7a3f0d465,-99.15
39c22d725a24b290af887b25175ae0a8d560db4b,-98.59
e001e1d73163c327a4d800697b1b36cd6921f60d,469.18
b83424ca8973e4b2eebf6eb9e26e842999432d22,374.34
202da3f471204ad489ebf0c3856437337534112d,-99.36
912d751c54b46c860c5ba61666fc6fc59ca2689d,418.96
8376d681a277c58f06ab633a06eaa66391126246,-96.45
e114f7b197069bde8e158a0dbeaa022dd0c4e280,419.01
fa84edf183bd459ea9394d77bdc191683a75ff66,578.04
76190ff09a736ff83169394b770699b2709c5a27,452.51
515db15df8581ae72bb8e8358833016adee74e02,482.3
e2a05053c19e6fba60d0e582e6c7f371728a7106,450.07
66c14322296ac259374ec98c5c3bb2bd67ba25e9,-100.7
2378556841bc8d5746f2b94d6adefc2db20f9518,560.26
1e6d55d7b1f72e9b7a8ea53f60f9434f830bc49a,-101.12
796d558152d241567f8a72b535a5e36fe78886f3,406.88
1093edca7a04127a6e04570ee9cb58ef1bc0a69a,508.7
3c748fc7a94edb7ac1484373751ffa8574a3281d,418.58
344a6fc8038e291a6371f94963d7a7f5e1c4d55b,415.23
92510f53e4c26c81c3bb41aa9b4e967d1697cd12,-99.9
10a1e8808e744c619376bff659f859cd71e8c41d,468.01
fc959dafc37dde3f173f083486d84ce5c817443f,465.37
6979d91c0a1903a336c640e14eed100821a0e24d,481.2
d4e37c4c1235ce014392f6c8ba0436f195b9e459,523.63
65ce75c2865eb4ae98e31b45fdc15f400d59e8cb,-98.52
565a955a60c6073157aa869c0351c626a7171ef3,546.94
5697c01ee87a008056ebc0993a1028b41a26d251,-102.06
99be797e423b5ae08fe342ea772738f71975df47,727.35
b579ea83f2d6c15b2c717d16a89827d65f39904b,514.8
e9373b5c22567bec508f2fa2580e4dc3ff687caa,618.95
a465af361b68bd536dd8bf61d522b9b21755ab60,471.64
c8feec2a94d996d03534ce935dec7a034667f107,807.62
af1890b4dbccbf8b6af56051a39bd4b13d1c971b,420.32
f4f7888cfe88b7a3b0f3d94749921976353ae82c,420.22
cdf60a765205a4e99eab17c72a68ff9cfd019dc6,488.45
2e466f15ac7b80870736fac2d0cf4bd7f362e852,447.01
85fd1d2ab6ab9205e3ca4770dd1f6205e1f3de70,-100.52
fc83a5c665f70f39b4c7d326118cbf21a898e660,647.97
c26fbd904781a4f6c37a8f8969778f687c6c1424,-104.26
ced4913c2220be57c54bc9f87bb4f441d5976671,467.45
880ade460a231d722e8bb0e4d17f3c8f77663d37,401.36
7c869f5b89ddf3130c87011b6508ee59e32682c5,434.91
9027f65d4e576928ca59690c280050c53d66506a,674.01
09eb415bcb9842d207139c8bddf32427a134d51e,512.56
f8224c83e27f4921df62876f7ff660b1dab3d974,427.6
628b91ee9b4e1e4564424fbfff2ea9f8eddca032,-101.1
dfec3182aec0997207e0845b072498065ec89aac,636.56
d653549f6d0ba70e2113b2cc56e9a83e331d2462,598.3
e95674df974af80342f676ca9e3540aecec2b8dc,421.37
f9333cc1eb8af5bca5469d91e2c5d5f661b118ea,479.36
2b7b15015ab18dc51893827c7e3f01d931a70410,-99.09
22d86e8b43a9412df86ec15ac231b9919e3ec905,440.62
1c61035799f6afe7f44c1fb68567d7a8945c3943,562.16
d5ed4b8732b0d7127a64f7e71137d321c56cc198,397.0
63edbbe59337f861a710bee4fe8a691d231f23da,442.49
f62bf9257782d839d38f84376b79611ed0de655d,-99.31
cf14952b5b09ad1a9497769e3a08da2fd74c6102,-98.89
21b8ef230efbfca6b5f15b36a3243d76ed390967,401.32
fdfca50f5e6cacd5b30bc546f0fbc271e9a312ff,402.4
467fdbfc0c6cab31b0d85ec5e373d82fa3790321,-100.95
3de3c134579726fe4606b7a05f82ce19f00adb09,678.69
0f3f9e48790ed9d6ed17ff5e9cb989849b31cc8c,450.45
bdaf0955746c2cdd3b9ac2538c7502d312fffed8,399.45
520c60d32fd2af8be76abd332859b36d8ae45900,413.95
6cb6e2310b52c2898e500f81bea938446592568b,479.65
0193b535914e1c5a445bede11a408bf1709cd3cb,486.22
f3669f0c65dbf99cdf8f5f176587e84d5fc7560f,491.37
c512a461034cd90a9c5f1a32332b748041cfeba3,-94.51
6f77bbe0fc418131d06d15f50b30073eae680dbb,-103.12
9b378e3937af8e97d4753cdf0c8917306354aaaf,477.1
1c92f54a5fe563622a0e23cf116461a7e147efd8,575.44
90facc45f7578775e3278aa0bd4fb59dad4d37c1,392.97
563bd02a1204c85e79026a020ba5af29bce95c12,-91.13
c8062c4cc7e023996bd37b87295f5a2957ddb172,500.81
ea7cc5987f9cc7f756d501961f64fa5769013823,-99.58
f654c32a17935317b2e91d8e16aa8dcbf88e2ef2,552.78
7dd5b0fad5bd47ecbf2e047dee24866a9b5899d6,510.13
1b61f7e184c7040ae4cea725153965e1f7f75308,439.83
aea68e00d370c2a0cfd02bf868824dec427bf23a,-101.48
bdfdc7207977f88b15b3d0559fbf6f05b970c9cb,-100.4
95a9c65324583892b2d1a0c1c5163488f92d4a6d,483.32
5b7e7632cf766876026d0da6aa7c6df77bc13438,461.66
a3be14b06b7aef01331da18e7a1678222b563151,-97.66
92b8965cf3fb76d11e5061f26e577c23d212b9c5,-101.08
96fd0462597b8cf21b1e918c1947106cd8359e5d,486.7
5c1cef937c40bf8c30c119160bedde7ef679454e,572.3
27dce80bee1eadbcd82bc7d09adb063e116870f6,-99.0
271a7e5b703fc3f29f6669415048a760e6355c5b,-99.0
e39fbeab552a4b6492346d821d095c3a0d691555,378.41
93694c58636eabfe86550e734efb3775ba4d739f,506.88
8982636d1f9cc5832eddae4d8a04ee2c6adbaebd,764.55
6c05e70130682975c1485a862b6e08b895650671,465.39
8db36ae38c19710d51d3715a6b2a5ecd84f94ff4,411.2
15043d6ede69cc06a2f2a72afcb05c1cdb5870d6,431.58
283df09083d3c7bec2590f22355c7ba32ec88623,451.46
40b96e97dc29dfc990656e30c1038e846b6c8ff2,-99.69
ff362d0a648559b9146fb97ee248eb423c3d6a50,-97.73
717ae2ab18e7ba03c4f3af66500ece6580b29b71,-99.76
5ae9771e0cd24b8eb599de2e0fd2e04a26520dd3,578.44
23131f453efc29c2af9553d307692c60a3add1ae,463.91
da42a6267fe6eb7baa0a4fd2a18aad577e6889b2,451.15
941646a7d24ee2837d7de90ff0a736bb8f61d68c,400.54
cd705413010e6e74f3b90ee78dbbd8b767488f0c,-99.02
5cd0dfc9a768868f28b11f9cf7870f11cc1ed185,454.18
cb4393cd17b5bdc120dbc15ddd255aa1f35ba090,478.04
72882a9cffe151d94be90e02ce3967a91b628099,494.77
cf62916c9829bd3ad05104151eee856d6de7ca1c,544.33
6b8f4241357e65c0491cc0ef96396f811574134c,446.17
298806ed4313157d412e860ac3ea8833d6ca6970,-100.37
268d48d0247f055ce2ebdd47cd5d1d3ec45246dc,412.37
4485f973590cff61be5ec78cb3032d5fdf25b809,-99.5
afd0fa3f3fc672e3c5d6c21173b5ba3b8caa5c8e,426.76
e2252b8e020cdf19b796baeb7b2c7b000a7bfb87,-96.51
8288badec4740382dbf7c33e4095cd4db0021bf7,411.33
5e139289eb167622f915eea3d1d6e49d15d1c873,540.82
fc050b2c8fa3446890fe1418332352177dd34506,483.32
8f309746992f374b4c2ea88f171233a9469ba649,447.23
ba1d192a71d5ac1a0b9a30bf3c80ef9dc59fefa2,465.01
145b6344526f9df32f4046c8227282477c51d69f,505.92
a22cd8d6b6ce7424065e477f2973bfd49b1ff2d6,426.91
b23775f4cd460ba687d77b058f2bc46381a0fbfe,475.09
87c4839ae2e1f274e88e7b9644fc1e1991d10aa2,502.55
9d2de5f93789220f3287c5b2bff6e4ca5c0f5e42,-102.89
08b5008c1ba3ee34dcafcb332c51d485da0313f4,-99.99
d0c56c5d1e19653aeb2c6fdf16c80ed09270dcaa,446.93
2bf8abe8000927aeff885fdb26e82579b54bb657,426.97
fb745761567cc26fe3b8240866c481797bc4aedf,-92.49
dfcd80c91cf897b5a23dc36aeaeabf8137049ae0,507.35
3ef584654da4e658ecdffb68bc4398c97f850ccf,451.25
342a52f77f29b040bf07e9d4de7029ad604de09c,-96.56
ea90166cae72eec871b4100ed8df997253bea84b,433.59
0e63d5d397c72b9c9ffa3974b3ccc8c228da98ca,442.61
39e7d2bf0be98a9698aa1369b7ca5576d392a777,468.89
01d88812b1d865b9797b9c57ed7538527593eb1d,650.98
879d82fe92a01214851fbeb62cd533fbc9d4ab87,550.3
9d0302fe7230d42fc9b5b995f2133c9db7513dce,-100.14
bddbc541b26cbdc46bf0e2df980a3c8078f13cb9,442.49
a185d42f150631e1f22e1d81f965dda9833d0bec,422.67
c5994a51d6c24ee4360aee344cebf55bd01c39e3,492.02
bbe2574187920d91ca67a657c5a476f92f8ac142,487.73
8637d558542ccd4a1cd1d3ab336711edad60a966,519.0
30fd3c461823b211ad79159256fdb3eb101deff0,430.9
8fc264880ab920d1847cd48307d22ae465c4be14,-102.35
d84f79e6c625a4c581a74ac4cdee661e6a69584b,-99.24
fa78d232e5d879c81cfc136341b2ac1e22199a44,-98.89
88c22a24bf7c1f218cdd78973beb0e93d5fabbfa,426.48
b64320a06b5488023d6db73962a0ef06cfb5c4d3,-96.64
4d12becc50fceaa6423313e98858cee7d438cc36,539.88
5c55594ff65d25732d6104cf60588ae877cb6e9c,661.95
8b1835ec3b546305fba72996c9e8b1941f6f3fd9,-100.03
e7eda9aa4a5dd77a968c91492fe232a0ee51bafe,-100.49
8811c9e0834082ca3b09b556baf8674c55426155,-97.79
03d703acff40c67a804e3d7993f02e710af9be58,-100.55
ebd6ed760a482a95ddc04d78254761296ea73608,472.92
4ea487e7fd10b89407bd3c72366366f5b505847f,595.94
0a5d7cb6bd339bb5ed303bbba82a3c0e10b1a405,455.76
10759016b000d342d3ee6f8d8961c5b9dea8db52,-97.6
f3c7b5755e5b5311a38cc0b67bfd54fe9adb7b7f,-98.72
49a9374bc759c6a4d1f8fce5ade5908afe72803c,471.33
4f735bfdc3f9ff0ca502f569e2511fe07c48f16c,456.44
0f31c91179f811dc6de3d071914cba2716013473,441.15
0d5e00d498ff6f08f74dad2a0d8f566f0c82e978,445.13
a785bd6e2a4ae24b8c162fe6506c8c995d36bbad,-96.69
a945e7b0eedbc6722edf61c6e9115199efa0e79b,562.89
b52cae71211465e9b76723d1dab3cbb973a76a5e,364.99
c64825379cc10911781e842c315951b835c0246d,462.52
5a4837ca6347926f18a7da8e38c8bc7339f7aac3,-99.27
